verb,reviewReason,affectedFormCount,affectedForms,pdfRows,pdfSlots,corpusClassification,verbnetClassification,status,frameEvidence,verbnetClasses,reviewStatus
abash,classification-gap,3,"abash, abashes, abashing",1,"V1, V4, V5",,monotransitive,provisional,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
abate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
abide,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
absorb,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive),"absorb-39.8, learn-14-2",pending
accept,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive),"accept-77.1, characterize-29.2-1-1, obtain-13.5.2",pending
achieve,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),complete-55.2,pending
acquire,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.asset (monotransitive),obtain-13.5.2-1,pending
act,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP (monotransitive),"act-114-1-1, masquerade-29.6-1, seem-109-1",pending
add,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.co-patient (monotransitive); NP V NP (monotransitive); NP V NP together (monotransitive); NP V NP PP.recipient (monotransitive),"mix-22.1-2, multiply-108, say-37.7-1",pending
address,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),illustrate-25.3,pending
adjust,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP (monotransitive); NP V NP S_ING (monotransitive),adjust-26.9,pending
admire,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive),admire-31.2,pending
admit,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP ADV (monotransitive); NP V NP PP.location (monotransitive); NP V NP to be NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"admit-64.3-1, confess-37.10, conjecture-29.5",pending
advise,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,"advise-37.9-1, say-37.7-1-1",pending
afford,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
agree,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,correspond-36.1-1,pending
alight,classification-gap; verbnet-unmatched,1,alit,19,"V2, V3",intransitive,uncertain,unmatched,,,pending
allow,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S (monotransitive); NP V NP PP.goal (monotransitive),"admit-64.3, allow-64.1-1, future_having-13.3",pending
animate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),remedy-45.7,pending
announce,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"order-58.3, reflexive_appearance-48.1.2, say-37.7-1-1",pending
answer,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),"reciprocate-112-1, subordinate-95.2.1",pending
apologize,verbnet-unmatched,0,,,,intransitive,uncertain,unmatched,,,pending
applaud,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive),"admire-31.2, judgment-33.1-1",pending
